county,office,party,candidate,votes
Sutton,Governor,REP,Greg Abbott,970
Sutton,Governor,LIB,,14
Swisher,Governor,DEM,Beto O'Rourke,238
Swisher,Governor,REP,Greg Abbott,1399
Swisher,Governor,LIB,,28
Tarrant,Governor,DEM,Beto O'Rourke,279423
Tarrant,Governor,REP,Greg Abbott,303600
Tarrant,Governor,LIB,,8345
Taylor,Governor,DEM,Beto O'Rourke,8878
Taylor,Governor,REP,Greg Abbott,29974
Taylor,Governor,LIB,,559
Terrell,Governor,DEM,Beto O'Rourke,94
Terrell,Governor,REP,Greg Abbott,326
Terrell,Governor,LIB,,6
Terry,Governor,DEM,Beto O'Rourke,377
Terry,Governor,REP,Greg Abbott,2167
Terry,Governor,LIB,,46
Throckmorton,Governor,DEM,Beto O'Rourke,51
Throckmorton,Governor,REP,Greg Abbott,612
Throckmorton,Governor,LIB,,4
Titus,Governor,DEM,Beto O'Rourke,1535
Titus,Governor,REP,Greg Abbott,5701
Titus,Governor,LIB,,88
Tom Green,Governor,DEM,Beto O'Rourke,7516
Tom Green,Governor,REP,Greg Abbott,23873
Tom Green,Governor,LIB,,469
Travis,Governor,DEM,Beto O'Rourke,335810
Travis,Governor,REP,Greg Abbott,119577
Travis,Governor,LIB,,7210
Trinity,Governor,DEM,Beto O'Rourke,825
Trinity,Governor,REP,Greg Abbott,4465
Trinity,Governor,LIB,,51
Tyler,Governor,DEM,Beto O'Rourke,816
Tyler,Governor,REP,Greg Abbott,6343
Tyler,Governor,LIB,,83
Upshur,Governor,DEM,Beto O'Rourke,1856
Upshur,Governor,REP,Greg Abbott,12270
Upshur,Governor,LIB,,147
Upton,Governor,DEM,Beto O'Rourke,123
Upton,Governor,REP,Greg Abbott,907
Upton,Governor,LIB,,26
Uvalde,Governor,DEM,Beto O'Rourke,3048
Uvalde,Governor,REP,Greg Abbott,4779
Uvalde,Governor,LIB,,124
Val Verde,Governor,DEM,Beto O'Rourke,3814
Val Verde,Governor,REP,Greg Abbott,5530
Val Verde,Governor,LIB,,159
Van Zandt,Governor,DEM,Beto O'Rourke,2414
Van Zandt,Governor,REP,Greg Abbott,17698
Van Zandt,Governor,LIB,,458
Victoria,Governor,DEM,Beto O'Rourke,6452
Victoria,Governor,REP,Greg Abbott,18519
Victoria,Governor,LIB,,327
Walker,Governor,DEM,Beto O'Rourke,4861
Walker,Governor,REP,Greg Abbott,12309
Walker,Governor,LIB,,224
Waller,Governor,DEM,Beto O'Rourke,5100
Waller,Governor,REP,Greg Abbott,11381
Waller,Governor,LIB,,233
Ward,Governor,DEM,Beto O'Rourke,418
Ward,Governor,REP,Greg Abbott,2065
Ward,Governor,LIB,,35
Washington,Governor,DEM,Beto O'Rourke,2824
Washington,Governor,REP,Greg Abbott,10965
Washington,Governor,LIB,,185
Webb,Governor,DEM,Beto O'Rourke,27156
Webb,Governor,REP,Greg Abbott,16409
Webb,Governor,LIB,,1168
Wharton,Governor,DEM,Beto O'Rourke,2697
Wharton,Governor,REP,Greg Abbott,9354
Wharton,Governor,LIB,,106
Wheeler,Governor,DEM,Beto O'Rourke,103
Wheeler,Governor,REP,Greg Abbott,1569
Wheeler,Governor,LIB,,14
Wichita,Governor,DEM,Beto O'Rourke,7824
Wichita,Governor,REP,Greg Abbott,23328
Wichita,Governor,LIB,,479
Wilbarger,Governor,DEM,Beto O'Rourke,517
Wilbarger,Governor,REP,Greg Abbott,2606
Wilbarger,Governor,LIB,,29
Willacy,Governor,DEM,Beto O'Rourke,2137
Willacy,Governor,REP,Greg Abbott,1656
Willacy,Governor,LIB,,46
Williamson,Governor,DEM,Beto O'Rourke,110242
Williamson,Governor,REP,Greg Abbott,111488
Williamson,Governor,LIB,,3942
Wilson,Governor,DEM,Beto O'Rourke,4317
Wilson,Governor,REP,Greg Abbott,14952
Wilson,Governor,LIB,,201
Winkler,Governor,DEM,Beto O'Rourke,177
Winkler,Governor,REP,Greg Abbott,1130
Winkler,Governor,LIB,,14
Wise,Governor,DEM,Beto O'Rourke,3538
Wise,Governor,REP,Greg Abbott,21979
Wise,Governor,LIB,,304
Wood,Governor,DEM,Beto O'Rourke,2331
Wood,Governor,REP,Greg Abbott,15678
Wood,Governor,LIB,,164
Yoakum,Governor,DEM,Beto O'Rourke,190
Yoakum,Governor,REP,Greg Abbott,1427
Yoakum,Governor,LIB,,20
Young,Governor,DEM,Beto O'Rourke,630
Young,Governor,REP,Greg Abbott,5498
Young,Governor,LIB,,66
Zapata,Governor,DEM,Beto O'Rourke,1585
Zapata,Governor,REP,Greg Abbott,1817
Zapata,Governor,LIB,,42
Zavala,Governor,DEM,Beto O'Rourke,1642
Zavala,Governor,REP,Greg Abbott,780
Zavala,Governor,LIB,,28
Anderson,Attorney General,DEM,Rochelle Mercedes Garza,2517
Anderson,Attorney General,REP,Ken Paxton,11509
Anderson,Attorney General,LIB,,295
Andrews,Attorney General,DEM,Rochelle Mercedes Garza,496
Andrews,Attorney General,REP,Ken Paxton,3218
Andrews,Attorney General,LIB,,70
Angelina,Attorney General,DEM,Rochelle Mercedes Garza,5240
Angelina,Attorney General,REP,Ken Paxton,18652
Angelina,Attorney General,LIB,,527
Aransas,Attorney General,DEM,Rochelle Mercedes Garza,1970
Aransas,Attorney General,REP,Ken Paxton,7362
Aransas,Attorney General,LIB,,245
Archer,Attorney General,DEM,Rochelle Mercedes Garza,338
Archer,Attorney General,REP,Ken Paxton,3402
Archer,Attorney General,LIB,,78
Armstrong,Attorney General,DEM,Rochelle Mercedes Garza,55
Armstrong,Attorney General,REP,Ken Paxton,817
Armstrong,Attorney General,LIB,,21
Atascosa,Attorney General,DEM,Rochelle Mercedes Garza,3660
Atascosa,Attorney General,REP,Ken Paxton,8561
Atascosa,Attorney General,LIB,,297
Austin,Attorney General,DEM,Rochelle Mercedes Garza,1876
Austin,Attorney General,REP,Ken Paxton,8955
Austin,Attorney General,LIB,,287
Bailey,Attorney General,DEM,Rochelle Mercedes Garza,224
Bailey,Attorney General,REP,Ken Paxton,1060
Bailey,Attorney General,LIB,,29
Bandera,Attorney General,DEM,Rochelle Mercedes Garza,1842
Bandera,Attorney General,REP,Ken Paxton,8342
Bandera,Attorney General,LIB,,271
Bastrop,Attorney General,DEM,Rochelle Mercedes Garza,11940
Bastrop,Attorney General,REP,Ken Paxton,15861
Bastrop,Attorney General,LIB,,1105
Baylor,Attorney General,DEM,Rochelle Mercedes Garza,115
Baylor,Attorney General,REP,Ken Paxton,1148
Baylor,Attorney General,LIB,,30
Bee,Attorney General,DEM,Rochelle Mercedes Garza,2057
Bee,Attorney General,REP,Ken Paxton,4155
Bee,Attorney General,LIB,,120
Bell,Attorney General,DEM,Rochelle Mercedes Garza,34169
Bell,Attorney General,REP,Ken Paxton,49837
Bell,Attorney General,LIB,,2803
Bexar,Attorney General,DEM,Rochelle Mercedes Garza,302289
Bexar,Attorney General,REP,Ken Paxton,215372
Bexar,Attorney General,LIB,,15079
Blanco,Attorney General,DEM,Rochelle Mercedes Garza,1568
Blanco,Attorney General,REP,Ken Paxton,4934
Blanco,Attorney General,LIB,,219
Borden,Attorney General,DEM,Rochelle Mercedes Garza,9
Borden,Attorney General,REP,Ken Paxton,298
Borden,Attorney General,LIB,,5
Bosque,Attorney General,DEM,Rochelle Mercedes Garza,1072
Bosque,Attorney General,REP,Ken Paxton,6076
Bosque,Attorney General,LIB,,224
Bowie,Attorney General,DEM,Rochelle Mercedes Garza,6140
Bowie,Attorney General,REP,Ken Paxton,19811
Bowie,Attorney General,LIB,,443
Brazoria,Attorney General,DEM,Rochelle Mercedes Garza,42661
Brazoria,Attorney General,REP,Ken Paxton,63610
Brazoria,Attorney General,LIB,,3105
Brazos,Attorney General,DEM,Rochelle Mercedes Garza,22711
Brazos,Attorney General,REP,Ken Paxton,34287
Brazos,Attorney General,LIB,,2212
Brewster,Attorney General,DEM,Rochelle Mercedes Garza,1690
Brewster,Attorney General,REP,Ken Paxton,1880
Brewster,Attorney General,LIB,,119
Briscoe,Attorney General,DEM,Rochelle Mercedes Garza,52
Briscoe,Attorney General,REP,Ken Paxton,527
Briscoe,Attorney General,LIB,,7
Brooks,Attorney General,DEM,Rochelle Mercedes Garza,1198
Brooks,Attorney General,REP,Ken Paxton,618
Brooks,Attorney General,LIB,,40
Brown,Attorney General,DEM,Rochelle Mercedes Garza,1372
Brown,Attorney General,REP,Ken Paxton,10604
Brown,Attorney General,LIB,,228
Burleson,Attorney General,DEM,Rochelle Mercedes Garza,1145
Burleson,Attorney General,REP,Ken Paxton,5356
Burleson,Attorney General,LIB,,163
Burnet,Attorney General,DEM,Rochelle Mercedes Garza,4434
Burnet,Attorney General,REP,Ken Paxton,15758
Burnet,Attorney General,LIB,,806
Caldwell,Attorney General,DEM,Rochelle Mercedes Garza,4806
Caldwell,Attorney General,REP,Ken Paxton,6017
Caldwell,Attorney General,LIB,,402
Calhoun,Attorney General,DEM,Rochelle Mercedes Garza,1356
Calhoun,Attorney General,REP,Ken Paxton,4090
Calhoun,Attorney General,LIB,,108
Callahan,Attorney General,DEM,Rochelle Mercedes Garza,494
Callahan,Attorney General,REP,Ken Paxton,4652
Callahan,Attorney General,LIB,,99
Cameron,Attorney General,DEM,Rochelle Mercedes Garza,41670
Cameron,Attorney General,REP,Ken Paxton,32387
Cameron,Attorney General,LIB,,1655
Camp,Attorney General,DEM,Rochelle Mercedes Garza,862
Camp,Attorney General,REP,Ken Paxton,3032
Camp,Attorney General,LIB,,67
Carson,Attorney General,DEM,Rochelle Mercedes Garza,205
Carson,Attorney General,REP,Ken Paxton,2131
Carson,Attorney General,LIB,,49
Cass,Attorney General,DEM,Rochelle Mercedes Garza,1511
Cass,Attorney General,REP,Ken Paxton,8306
Cass,Attorney General,LIB,,124
Castro,Attorney General,DEM,Rochelle Mercedes Garza,274
Castro,Attorney General,REP,Ken Paxton,1175
Castro,Attorney General,LIB,,21
Chambers,Attorney General,DEM,Rochelle Mercedes Garza,2482
Chambers,Attorney General,REP,Ken Paxton,12803
Chambers,Attorney General,LIB,,349
Cherokee,Attorney General,DEM,Rochelle Mercedes Garza,2408
Cherokee,Attorney General,REP,Ken Paxton,11685
Cherokee,Attorney General,LIB,,274
Childress,Attorney General,DEM,Rochelle Mercedes Garza,169
Childress,Attorney General,REP,Ken Paxton,1535
Childress,Attorney General,LIB,,24
Clay,Attorney General,DEM,Rochelle Mercedes Garza,421
Clay,Attorney General,REP,Ken Paxton,3962
Clay,Attorney General,LIB,,77
Cochran,Attorney General,DEM,Rochelle Mercedes Garza,99
Cochran,Attorney General,REP,Ken Paxton,492
Cochran,Attorney General,LIB,,17
Coke,Attorney General,DEM,Rochelle Mercedes Garza,136
Coke,Attorney General,REP,Ken Paxton,1216
Coke,Attorney General,LIB,,22
Coleman,Attorney General,DEM,Rochelle Mercedes Garza,290
Coleman,Attorney General,REP,Ken Paxton,2885
Coleman,Attorney General,LIB,,34
Collin,Attorney General,DEM,Rochelle Mercedes Garza,158832
Collin,Attorney General,REP,Ken Paxton,187860
Collin,Attorney General,LIB,,12692
Collingsworth,Attorney General,DEM,Rochelle Mercedes Garza,73
Collingsworth,Attorney General,REP,Ken Paxton,824
Collingsworth,Attorney General,LIB,,16
Colorado,Attorney General,DEM,Rochelle Mercedes Garza,1403
Colorado,Attorney General,REP,Ken Paxton,5945
Colorado,Attorney General,LIB,,149
Comal,Attorney General,DEM,Rochelle Mercedes Garza,18968
Comal,Attorney General,REP,Ken Paxton,53166
Comal,Attorney General,LIB,,2296
Comanche,Attorney General,DEM,Rochelle Mercedes Garza,578
Comanche,Attorney General,REP,Ken Paxton,4094
Comanche,Attorney General,LIB,,134
Concho,Attorney General,DEM,Rochelle Mercedes Garza,125
Concho,Attorney General,REP,Ken Paxton,788
Concho,Attorney General,LIB,,21
Cooke,Attorney General,DEM,Rochelle Mercedes Garza,2281
Cooke,Attorney General,REP,Ken Paxton,12440
Cooke,Attorney General,LIB,,464
Coryell,Attorney General,DEM,Rochelle Mercedes Garza,4367
Coryell,Attorney General,REP,Ken Paxton,11302
Coryell,Attorney General,LIB,,569
Cottle,Attorney General,DEM,Rochelle Mercedes Garza,60
Cottle,Attorney General,REP,Ken Paxton,441
Cottle,Attorney General,LIB,,5
Crane,Attorney General,DEM,Rochelle Mercedes Garza,159
Crane,Attorney General,REP,Ken Paxton,918
Crane,Attorney General,LIB,,23
Crockett,Attorney General,DEM,Rochelle Mercedes Garza,299
Crockett,Attorney General,REP,Ken Paxton,872
Crockett,Attorney General,LIB,,21
Crosby,Attorney General,DEM,Rochelle Mercedes Garza,281
Crosby,Attorney General,REP,Ken Paxton,946
Crosby,Attorney General,LIB,,28
Culberson,Attorney General,DEM,Rochelle Mercedes Garza,303
Culberson,Attorney General,REP,Ken Paxton,323
Culberson,Attorney General,LIB,,20
Dallam,Attorney General,DEM,Rochelle Mercedes Garza,89
Dallam,Attorney General,REP,Ken Paxton,939
Dallam,Attorney General,LIB,,14
Dallas,Attorney General,DEM,Rochelle Mercedes Garza,388473
Dallas,Attorney General,REP,Ken Paxton,210740
Dallas,Attorney General,LIB,,22039
Dawson,Attorney General,DEM,Rochelle Mercedes Garza,432
Dawson,Attorney General,REP,Ken Paxton,2018
Dawson,Attorney General,LIB,,50
DeWitt,Attorney General,DEM,Rochelle Mercedes Garza,887
DeWitt,Attorney General,REP,Ken Paxton,5036
DeWitt,Attorney General,LIB,,84
Deaf Smith,Attorney General,DEM,Rochelle Mercedes Garza,658
Deaf Smith,Attorney General,REP,Ken Paxton,2232
Deaf Smith,Attorney General,LIB,,49
Delta,Attorney General,DEM,Rochelle Mercedes Garza,308
Delta,Attorney General,REP,Ken Paxton,1651
Delta,Attorney General,LIB,,50
Denton,Attorney General,DEM,Rochelle Mercedes Garza,133976
Denton,Attorney General,REP,Ken Paxton,169999
Denton,Attorney General,LIB,,11388
Dickens,Attorney General,DEM,Rochelle Mercedes Garza,95
Dickens,Attorney General,REP,Ken Paxton,680
Dickens,Attorney General,LIB,,9
Dimmit,Attorney General,DEM,Rochelle Mercedes Garza,1611
Dimmit,Attorney General,REP,Ken Paxton,930
Dimmit,Attorney General,LIB,,60
Donley,Attorney General,DEM,Rochelle Mercedes Garza,110
Donley,Attorney General,REP,Ken Paxton,1047
Donley,Attorney General,LIB,,22
Duval,Attorney General,DEM,Rochelle Mercedes Garza,1921
Duval,Attorney General,REP,Ken Paxton,1217
Duval,Attorney General,LIB,,58
Eastland,Attorney General,DEM,Rochelle Mercedes Garza,665
Eastland,Attorney General,REP,Ken Paxton,5374
Eastland,Attorney General,LIB,,86
Ector,Attorney General,DEM,Rochelle Mercedes Garza,5965
Ector,Attorney General,REP,Ken Paxton,18587
Ector,Attorney General,LIB,,585
Edwards,Attorney General,DEM,Rochelle Mercedes Garza,90
Edwards,Attorney General,REP,Ken Paxton,698
Edwards,Attorney General,LIB,,14
El Paso,Attorney General,DEM,Rochelle Mercedes Garza,101187
El Paso,Attorney General,REP,Ken Paxton,55735
El Paso,Attorney General,LIB,,4943
Ellis,Attorney General,DEM,Rochelle Mercedes Garza,20733
Ellis,Attorney General,REP,Ken Paxton,43753
Ellis,Attorney General,LIB,,2309
Erath,Attorney General,DEM,Rochelle Mercedes Garza,1980
Erath,Attorney General,REP,Ken Paxton,10691
Erath,Attorney General,LIB,,379
Falls,Attorney General,DEM,Rochelle Mercedes Garza,1176
Falls,Attorney General,REP,Ken Paxton,3403
Falls,Attorney General,LIB,,108
Fannin,Attorney General,DEM,Rochelle Mercedes Garza,1843
Fannin,Attorney General,REP,Ken Paxton,9389
Fannin,Attorney General,LIB,,323
Fayette,Attorney General,DEM,Rochelle Mercedes Garza,1803
Fayette,Attorney General,REP,Ken Paxton,8333
Fayette,Attorney General,LIB,,252
Fisher,Attorney General,DEM,Rochelle Mercedes Garza,229
Fisher,Attorney General,REP,Ken Paxton,1129
Fisher,Attorney General,LIB,,27
Floyd,Attorney General,DEM,Rochelle Mercedes Garza,209
Floyd,Attorney General,REP,Ken Paxton,1214
Floyd,Attorney General,LIB,,27
Foard,Attorney General,DEM,Rochelle Mercedes Garza,77
Foard,Attorney General,REP,Ken Paxton,420
Foard,Attorney General,LIB,,6
Fort Bend,Attorney General,DEM,Rochelle Mercedes Garza,125792
Fort Bend,Attorney General,REP,Ken Paxton,114934
Fort Bend,Attorney General,LIB,,6152
Franklin,Attorney General,DEM,Rochelle Mercedes Garza,530
Franklin,Attorney General,REP,Ken Paxton,3279
Franklin,Attorney General,LIB,,77
Freestone,Attorney General,DEM,Rochelle Mercedes Garza,967
Freestone,Attorney General,REP,Ken Paxton,5483
Freestone,Attorney General,LIB,,151
Frio,Attorney General,DEM,Rochelle Mercedes Garza,1607
Frio,Attorney General,REP,Ken Paxton,1694
Frio,Attorney General,LIB,,92
Gaines,Attorney General,DEM,Rochelle Mercedes Garza,340
Gaines,Attorney General,REP,Ken Paxton,3680
Gaines,Attorney General,LIB,,56
Galveston,Attorney General,DEM,Rochelle Mercedes Garza,39656
Galveston,Attorney General,REP,Ken Paxton,67199
Galveston,Attorney General,LIB,,3311
Garza,Attorney General,DEM,Rochelle Mercedes Garza,137
Garza,Attorney General,REP,Ken Paxton,1021
Garza,Attorney General,LIB,,23
Gillespie,Attorney General,DEM,Rochelle Mercedes Garza,2469
Gillespie,Attorney General,REP,Ken Paxton,10476
Gillespie,Attorney General,LIB,,393
Glasscock,Attorney General,DEM,Rochelle Mercedes Garza,29
Glasscock,Attorney General,REP,Ken Paxton,525
Glasscock,Attorney General,LIB,,4
Goliad,Attorney General,DEM,Rochelle Mercedes Garza,702
Goliad,Attorney General,REP,Ken Paxton,2515
Goliad,Attorney General,LIB,,69
Gonzales,Attorney General,DEM,Rochelle Mercedes Garza,1089
Gonzales,Attorney General,REP,Ken Paxton,4267
Gonzales,Attorney General,LIB,,114
Gray,Attorney General,DEM,Rochelle Mercedes Garza,496
Gray,Attorney General,REP,Ken Paxton,4932
Gray,Attorney General,LIB,,109
Grayson,Attorney General,DEM,Rochelle Mercedes Garza,9722
Grayson,Attorney General,REP,Ken Paxton,33841
Grayson,Attorney General,LIB,,1102
Gregg,Attorney General,DEM,Rochelle Mercedes Garza,8793
Gregg,Attorney General,REP,Ken Paxton,23463
Gregg,Attorney General,LIB,,719
Grimes,Attorney General,DEM,Rochelle Mercedes Garza,1748
Grimes,Attorney General,REP,Ken Paxton,7426
Grimes,Attorney General,LIB,,211
Guadalupe,Attorney General,DEM,Rochelle Mercedes Garza,18914
Guadalupe,Attorney General,REP,Ken Paxton,35798
Guadalupe,Attorney General,LIB,,1890
Hale,Attorney General,DEM,Rochelle Mercedes Garza,1213
Hale,Attorney General,REP,Ken Paxton,4922
Hale,Attorney General,LIB,,130
Hall,Attorney General,DEM,Rochelle Mercedes Garza,95
Hall,Attorney General,REP,Ken Paxton,756
Hall,Attorney General,LIB,,12
Hamilton,Attorney General,DEM,Rochelle Mercedes Garza,450
Hamilton,Attorney General,REP,Ken Paxton,2909
Hamilton,Attorney General,LIB,,85
Hansford,Attorney General,DEM,Rochelle Mercedes Garza,92
Hansford,Attorney General,REP,Ken Paxton,1387
Hansford,Attorney General,LIB,,20
Hardeman,Attorney General,DEM,Rochelle Mercedes Garza,116
Hardeman,Attorney General,REP,Ken Paxton,852
Hardeman,Attorney General,LIB,,8
Hardin,Attorney General,DEM,Rochelle Mercedes Garza,2034
Hardin,Attorney General,REP,Ken Paxton,17256
Hardin,Attorney General,LIB,,280
Harris,Attorney General,DEM,Rochelle Mercedes Garza,584535
Harris,Attorney General,REP,Ken Paxton,480141
Harris,Attorney General,LIB,,29378
Harrison,Attorney General,DEM,Rochelle Mercedes Garza,4748
Harrison,Attorney General,REP,Ken Paxton,16158
Harrison,Attorney General,LIB,,342
Hartley,Attorney General,DEM,Rochelle Mercedes Garza,102
Hartley,Attorney General,REP,Ken Paxton,1428
Hartley,Attorney General,LIB,,28
Haskell,Attorney General,DEM,Rochelle Mercedes Garza,216
Haskell,Attorney General,REP,Ken Paxton,1410
Haskell,Attorney General,LIB,,26
Hays,Attorney General,DEM,Rochelle Mercedes Garza,48434
Hays,Attorney General,REP,Ken Paxton,37150
Hays,Attorney General,LIB,,3363
Hemphill,Attorney General,DEM,Rochelle Mercedes Garza,161
Hemphill,Attorney General,REP,Ken Paxton,1119
Hemphill,Attorney General,LIB,,43
Henderson,Attorney General,DEM,Rochelle Mercedes Garza,4761
Henderson,Attorney General,REP,Ken Paxton,22185
Henderson,Attorney General,LIB,,744
Hidalgo,Attorney General,DEM,Rochelle Mercedes Garza,80498
Hidalgo,Attorney General,REP,Ken Paxton,53208
Hidalgo,Attorney General,LIB,,2635
Hill,Attorney General,DEM,Rochelle Mercedes Garza,1857
Hill,Attorney General,REP,Ken Paxton,9167
Hill,Attorney General,LIB,,295
Hockley,Attorney General,DEM,Rochelle Mercedes Garza,806
Hockley,Attorney General,REP,Ken Paxton,4585
Hockley,Attorney General,LIB,,100
Hood,Attorney General,DEM,Rochelle Mercedes Garza,4332
Hood,Attorney General,REP,Ken Paxton,21760
Hood,Attorney General,LIB,,911
Hopkins,Attorney General,DEM,Rochelle Mercedes Garza,1998
Hopkins,Attorney General,REP,Ken Paxton,9991
Hopkins,Attorney General,LIB,,289
Houston,Attorney General,DEM,Rochelle Mercedes Garza,1415
Houston,Attorney General,REP,Ken Paxton,5608
Houston,Attorney General,LIB,,112
Howard,Attorney General,DEM,Rochelle Mercedes Garza,1124
Howard,Attorney General,REP,Ken Paxton,5226
Howard,Attorney General,LIB,,150
Hudspeth,Attorney General,DEM,Rochelle Mercedes Garza,277
Hudspeth,Attorney General,REP,Ken Paxton,542
Hudspeth,Attorney General,LIB,,25
Hunt,Attorney General,DEM,Rochelle Mercedes Garza,6319
Hunt,Attorney General,REP,Ken Paxton,23071
Hunt,Attorney General,LIB,,894
Hutchinson,Attorney General,DEM,Rochelle Mercedes Garza,560
Hutchinson,Attorney General,REP,Ken Paxton,5329
Hutchinson,Attorney General,LIB,,144
Irion,Attorney General,DEM,Rochelle Mercedes Garza,70
Irion,Attorney General,REP,Ken Paxton,605
Irion,Attorney General,LIB,,17
Jack,Attorney General,DEM,Rochelle Mercedes Garza,241
Jack,Attorney General,REP,Ken Paxton,2671
Jack,Attorney General,LIB,,62
Jackson,Attorney General,DEM,Rochelle Mercedes Garza,562
Jackson,Attorney General,REP,Ken Paxton,3938
Jackson,Attorney General,LIB,,76
Jasper,Attorney General,DEM,Rochelle Mercedes Garza,1597
Jasper,Attorney General,REP,Ken Paxton,9542
Jasper,Attorney General,LIB,,149
Jeff Davis,Attorney General,DEM,Rochelle Mercedes Garza,387
Jeff Davis,Attorney General,REP,Ken Paxton,604
Jeff Davis,Attorney General,LIB,,40
Jefferson,Attorney General,DEM,Rochelle Mercedes Garza,26673
Jefferson,Attorney General,REP,Ken Paxton,34028
Jefferson,Attorney General,LIB,,1011
Jim Hogg,Attorney General,DEM,Rochelle Mercedes Garza,865
Jim Hogg,Attorney General,REP,Ken Paxton,445
Jim Hogg,Attorney General,LIB,,25
Jim Wells,Attorney General,DEM,Rochelle Mercedes Garza,4467
Jim Wells,Attorney General,REP,Ken Paxton,4654
Jim Wells,Attorney General,LIB,,159
Johnson,Attorney General,DEM,Rochelle Mercedes Garza,12057
Johnson,Attorney General,REP,Ken Paxton,41701
Johnson,Attorney General,LIB,,1821
Jones,Attorney General,DEM,Rochelle Mercedes Garza,625
Jones,Attorney General,REP,Ken Paxton,4254
Jones,Attorney General,LIB,,85
Karnes,Attorney General,DEM,Rochelle Mercedes Garza,786
Karnes,Attorney General,REP,Ken Paxton,2913
Karnes,Attorney General,LIB,,65
Kaufman,Attorney General,DEM,Rochelle Mercedes Garza,13649
Kaufman,Attorney General,REP,Ken Paxton,27357
Kaufman,Attorney General,LIB,,1348
Kendall,Attorney General,DEM,Rochelle Mercedes Garza,4520
Kendall,Attorney General,REP,Ken Paxton,17160
Kendall,Attorney General,LIB,,659
Kenedy,Attorney General,DEM,Rochelle Mercedes Garza,39
Kenedy,Attorney General,REP,Ken Paxton,94
Kenedy,Attorney General,LIB,,3
Kent,Attorney General,DEM,Rochelle Mercedes Garza,32
Kent,Attorney General,REP,Ken Paxton,307
Kent,Attorney General,LIB,,6
Kerr,Attorney General,DEM,Rochelle Mercedes Garza,4683
Kerr,Attorney General,REP,Ken Paxton,17125
Kerr,Attorney General,LIB,,611
Kimble,Attorney General,DEM,Rochelle Mercedes Garza,194
Kimble,Attorney General,REP,Ken Paxton,1612
Kimble,Attorney General,LIB,,41
King,Attorney General,DEM,Rochelle Mercedes Garza,1
King,Attorney General,REP,Ken Paxton,99
King,Attorney General,LIB,,1
Kinney,Attorney General,DEM,Rochelle Mercedes Garza,245
Kinney,Attorney General,REP,Ken Paxton,866
Kinney,Attorney General,LIB,,37
Kleberg,Attorney General,DEM,Rochelle Mercedes Garza,3499
Kleberg,Attorney General,REP,Ken Paxton,3879
Kleberg,Attorney General,LIB,,142
Knox,Attorney General,DEM,Rochelle Mercedes Garza,153
Knox,Attorney General,REP,Ken Paxton,861
Knox,Attorney General,LIB,,16
La Salle,Attorney General,DEM,Rochelle Mercedes Garza,612
La Salle,Attorney General,REP,Ken Paxton,707
La Salle,Attorney General,LIB,,22
Lamar,Attorney General,DEM,Rochelle Mercedes Garza,2635
Lamar,Attorney General,REP,Ken Paxton,12262
Lamar,Attorney General,LIB,,341
Lamb,Attorney General,DEM,Rochelle Mercedes Garza,426
Lamb,Attorney General,REP,Ken Paxton,2572
Lamb,Attorney General,LIB,,53
Lampasas,Attorney General,DEM,Rochelle Mercedes Garza,1494
Lampasas,Attorney General,REP,Ken Paxton,6402
Lampasas,Attorney General,LIB,,291
Lavaca,Attorney General,DEM,Rochelle Mercedes Garza,814
Lavaca,Attorney General,REP,Ken Paxton,7162
Lavaca,Attorney General,LIB,,132
Lee,Attorney General,DEM,Rochelle Mercedes Garza,1119
Lee,Attorney General,REP,Ken Paxton,4941
Lee,Attorney General,LIB,,147
Leon,Attorney General,DEM,Rochelle Mercedes Garza,720
Leon,Attorney General,REP,Ken Paxton,5979
Leon,Attorney General,LIB,,111
Liberty,Attorney General,DEM,Rochelle Mercedes Garza,3455
Liberty,Attorney General,REP,Ken Paxton,15837
Liberty,Attorney General,LIB,,445
Limestone,Attorney General,DEM,Rochelle Mercedes Garza,1365
Limestone,Attorney General,REP,Ken Paxton,5261
Limestone,Attorney General,LIB,,176
Lipscomb,Attorney General,DEM,Rochelle Mercedes Garza,94
Lipscomb,Attorney General,REP,Ken Paxton,860
Lipscomb,Attorney General,LIB,,17
Live Oak,Attorney General,DEM,Rochelle Mercedes Garza,550
Live Oak,Attorney General,REP,Ken Paxton,3375
Live Oak,Attorney General,LIB,,46
Llano,Attorney General,DEM,Rochelle Mercedes Garza,2003
Llano,Attorney General,REP,Ken Paxton,8620
Llano,Attorney General,LIB,,323
Loving,Attorney General,DEM,Rochelle Mercedes Garza,8
Loving,Attorney General,REP,Ken Paxton,60
Loving,Attorney General,LIB,,4
Lubbock,Attorney General,DEM,Rochelle Mercedes Garza,24249
Lubbock,Attorney General,REP,Ken Paxton,56286
Lubbock,Attorney General,LIB,,2513
Lynn,Attorney General,DEM,Rochelle Mercedes Garza,213
Lynn,Attorney General,REP,Ken Paxton,1465
Lynn,Attorney General,LIB,,34
Madison,Attorney General,DEM,Rochelle Mercedes Garza,595
Madison,Attorney General,REP,Ken Paxton,3198
Madison,Attorney General,LIB,,82
Marion,Attorney General,DEM,Rochelle Mercedes Garza,724
Marion,Attorney General,REP,Ken Paxton,2502
Marion,Attorney General,LIB,,57
Martin,Attorney General,DEM,Rochelle Mercedes Garza,165
Martin,Attorney General,REP,Ken Paxton,1299
Martin,Attorney General,LIB,,23
