county,office,district,candidate,incumbent,party,votes,pct
ARANSAS,U. S. REPRESENTATIVE,27,MACLOVIO PEREZ JR.,FALSE,DEM,1953,20.39
ARANSAS,U. S. REPRESENTATIVE,27,Total,,,9579,
ARANSAS,GOVERNOR,,GREG ABBOTT,TRUE,REP,7581,78.63
ARANSAS,GOVERNOR,,MARK V GOLOBY,FALSE,WI,0,0.0
ARANSAS,GOVERNOR,,JACQUELINE ABERNATHY,FALSE,WI,4,0.04
ARANSAS,GOVERNOR,,DELILAH BARRIOS,FALSE,GRE,33,0.34
ARANSAS,GOVERNOR,,MARK TIPPETTS,FALSE,LIB,99,1.03
ARANSAS,GOVERNOR,,BETO O'ROURKE,FALSE,DEM,1924,19.96
ARANSAS,GOVERNOR,,Total,,,9641,
ARANSAS,LIEUTENANT GOVERNOR,,DAN PATRICK,TRUE,REP,7438,77.39
ARANSAS,LIEUTENANT GOVERNOR,,SHANNA STEELE,FALSE,LIB,209,2.17
ARANSAS,LIEUTENANT GOVERNOR,,MIKE COLLIER,FALSE,DEM,1964,20.43
ARANSAS,LIEUTENANT GOVERNOR,,Total,,,9611,
ARANSAS,ATTORNEY GENERAL,,ROCHELLE MERCEDES GARZA,FALSE,DEM,1970,20.57
ARANSAS,ATTORNEY GENERAL,,MARK ASH,FALSE,LIB,245,2.56
ARANSAS,ATTORNEY GENERAL,,KEN PAXTON,TRUE,REP,7362,76.87
ARANSAS,ATTORNEY GENERAL,,Total,,,9577,
ARANSAS,COMPTROLLER OF PUBLIC ACCOUNTS,,JANET T. DUDDING,FALSE,DEM,1829,19.09
ARANSAS,COMPTROLLER OF PUBLIC ACCOUNTS,,GLENN HEGAR,TRUE,REP,7575,79.05
ARANSAS,COMPTROLLER OF PUBLIC ACCOUNTS,,V. ALONZO ECHEVARRIA-GARZA,FALSE,LIB,178,1.86
ARANSAS,COMPTROLLER OF PUBLIC ACCOUNTS,,Total,,,9582,
ARANSAS,COMMISSIONER OF THE GENERAL LAND OFFICE,,JAY KLEBERG,FALSE,DEM,2085,21.86
ARANSAS,COMMISSIONER OF THE GENERAL LAND OFFICE,,"ALFRED MOLISON, JR",FALSE,GRE,85,0.89
ARANSAS,COMMISSIONER OF THE GENERAL LAND OFFICE,,CARRIE EVELYN MENGER,FALSE,WI,3,0.03
ARANSAS,COMMISSIONER OF THE GENERAL LAND OFFICE,,DAWN BUCKINGHAM,FALSE,REP,7367,77.22
ARANSAS,COMMISSIONER OF THE GENERAL LAND OFFICE,,Total,,,9540,
ARANSAS,COMMISSIONER OF AGRICULTURE,,SUSAN HAYS,FALSE,DEM,1978,20.73
ARANSAS,COMMISSIONER OF AGRICULTURE,,SID MILLER,TRUE,REP,7563,79.27
ARANSAS,COMMISSIONER OF AGRICULTURE,,Total,,,9541,
ARANSAS,RAILROAD COMMISSIONER,,WAYNE CHRISTIAN,TRUE,REP,7478,78.47
ARANSAS,RAILROAD COMMISSIONER,,HUNTER WAYNE CROW,FALSE,GRE,90,0.94
ARANSAS,RAILROAD COMMISSIONER,,JAIME ANDRES DIEZ,FALSE,LIB,190,1.99
ARANSAS,RAILROAD COMMISSIONER,,LUKE WARFORD,FALSE,DEM,1772,18.59
ARANSAS,RAILROAD COMMISSIONER,,Total,,,9530,
ARANSAS,"JUSTICE, SUPREME COURT, PLACE 3",,THOMAS EDWARD OXFORD,FALSE,LIB,182,1.91
ARANSAS,"JUSTICE, SUPREME COURT, PLACE 3",,ERIN A. NOWELL,FALSE,DEM,1848,19.36
ARANSAS,"JUSTICE, SUPREME COURT, PLACE 3",,DEBRA LEHRMANN,TRUE,REP,7513,78.73
ARANSAS,"JUSTICE, SUPREME COURT, PLACE 3",,Total,,,9543,
ARANSAS,"JUSTICE, SUPREME COURT, PLACE 5",,REBECA HUDDLE,TRUE,REP,7588,79.7
ARANSAS,"JUSTICE, SUPREME COURT, PLACE 5",,AMANDA REICHEK,FALSE,DEM,1933,20.3
ARANSAS,"JUSTICE, SUPREME COURT, PLACE 5",,Total,,,9521,
ARANSAS,"JUSTICE, SUPREME COURT, PLACE 9",,EVAN YOUNG,TRUE,REP,7543,79.25
ARANSAS,"JUSTICE, SUPREME COURT, PLACE 9",,JULIA MALDONADO,FALSE,DEM,1975,20.75
ARANSAS,"JUSTICE, SUPREME COURT, PLACE 9",,Total,,,9518,
ARANSAS,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 5",,SCOTT WALKER,TRUE,REP,7596,79.71
ARANSAS,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 5",,DANA HUFFMAN,FALSE,DEM,1934,20.29
ARANSAS,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 5",,Total,,,9530,
ARANSAS,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 6",,"JESSE F. MCCLURE, III",TRUE,REP,7594,79.85
ARANSAS,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 6",,ROBERT JOHNSON,FALSE,DEM,1916,20.15
ARANSAS,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 6",,Total,,,9510,
ARANSAS,"MEMBER, STATE BOARD OF EDUCATION",2,LJ FRANCIS,FALSE,REP,7513,79.37
ARANSAS,"MEMBER, STATE BOARD OF EDUCATION",2,VICTOR PEREZ,FALSE,DEM,1953,20.63
ARANSAS,"MEMBER, STATE BOARD OF EDUCATION",2,Total,,,9466,
ARANSAS,STATE SENATOR,18,LOIS W. KOLKHORST,TRUE,REP,7665,80.57
ARANSAS,STATE SENATOR,18,JOSH TUTT,FALSE,DEM,1849,19.43
ARANSAS,STATE SENATOR,18,Total,,,9514,
ARANSAS,"JUSTICE, 13TH COURT OF APPEALS DISTRICT, PLACE 3",,LETICIA HINOJOSA,FALSE,DEM,1963,20.77
ARANSAS,"JUSTICE, 13TH COURT OF APPEALS DISTRICT, PLACE 3",,AARON PEÑA,FALSE,REP,7486,79.23
ARANSAS,"JUSTICE, 13TH COURT OF APPEALS DISTRICT, PLACE 3",,Total,,,9449,
ARCHER,U. S. REPRESENTATIVE,13,KATHLEEN BROWN,FALSE,DEM,352,9.19
ARCHER,U. S. REPRESENTATIVE,13,RONNY JACKSON,TRUE,REP,3479,90.81
ARCHER,U. S. REPRESENTATIVE,13,Total,,,3831,
