county,office,district,candidate,party,votes
DELTA,Attorney General,,Sam Houston,DEM,311
DELTA,Attorney General,,Ken Paxton,REP,995
DELTA,Attorney General,,OTHER,OTH,35
DENTON,Attorney General,,Sam Houston,DEM,43877
DENTON,Attorney General,,Ken Paxton,REP,93644
DENTON,Attorney General,,OTHER,OTH,5158
DEWITT,Attorney General,,Sam Houston,DEM,652
DEWITT,Attorney General,,Ken Paxton,REP,3227
DEWITT,Attorney General,,OTHER,OTH,67
DICKENS,Attorney General,,Sam Houston,DEM,75
DICKENS,Attorney General,,Ken Paxton,REP,419
DICKENS,Attorney General,,OTHER,OTH,13
DIMMIT,Attorney General,,Sam Houston,DEM,1206
DIMMIT,Attorney General,,Ken Paxton,REP,508
DIMMIT,Attorney General,,OTHER,OTH,74
DONLEY,Attorney General,,Sam Houston,DEM,117
DONLEY,Attorney General,,Ken Paxton,REP,786
DONLEY,Attorney General,,OTHER,OTH,23
DUVAL,Attorney General,,Sam Houston,DEM,2368
DUVAL,Attorney General,,Ken Paxton,REP,511
DUVAL,Attorney General,,OTHER,OTH,121
EASTLAND,Attorney General,,Sam Houston,DEM,441
EASTLAND,Attorney General,,Ken Paxton,REP,3388
EASTLAND,Attorney General,,OTHER,OTH,87
ECTOR,Attorney General,,Sam Houston,DEM,2603
ECTOR,Attorney General,,Ken Paxton,REP,11838
ECTOR,Attorney General,,OTHER,OTH,353
EDWARDS,Attorney General,,Sam Houston,DEM,198
EDWARDS,Attorney General,,Ken Paxton,REP,497
EDWARDS,Attorney General,,OTHER,OTH,30
ELLIS,Attorney General,,Sam Houston,DEM,7598
ELLIS,Attorney General,,Ken Paxton,REP,23439
ELLIS,Attorney General,,OTHER,OTH,784
EL PASO,Attorney General,,Sam Houston,DEM,46022
EL PASO,Attorney General,,Ken Paxton,REP,28858
EL PASO,Attorney General,,OTHER,OTH,4046
ERATH,Attorney General,,Sam Houston,DEM,1197
ERATH,Attorney General,,Ken Paxton,REP,5980
ERATH,Attorney General,,OTHER,OTH,182
FALLS,Attorney General,,Sam Houston,DEM,910
FALLS,Attorney General,,Ken Paxton,REP,2034
FALLS,Attorney General,,OTHER,OTH,54
FANNIN,Attorney General,,Sam Houston,DEM,1433
FANNIN,Attorney General,,Ken Paxton,REP,4856
FANNIN,Attorney General,,OTHER,OTH,166
FAYETTE,Attorney General,,Sam Houston,DEM,1479
FAYETTE,Attorney General,,Ken Paxton,REP,5709
FAYETTE,Attorney General,,OTHER,OTH,164
FISHER,Attorney General,,Sam Houston,DEM,429
FISHER,Attorney General,,Ken Paxton,REP,742
FISHER,Attorney General,,OTHER,OTH,20
FLOYD,Attorney General,,Sam Houston,DEM,166
FLOYD,Attorney General,,Ken Paxton,REP,916
FLOYD,Attorney General,,OTHER,OTH,10
FOARD,Attorney General,,Sam Houston,DEM,116
FOARD,Attorney General,,Ken Paxton,REP,176
FOARD,Attorney General,,OTHER,OTH,6
FORT BEND,Attorney General,,Sam Houston,DEM,54967
FORT BEND,Attorney General,,Ken Paxton,REP,73752
FORT BEND,Attorney General,,OTHER,OTH,2770
FRANKLIN,Attorney General,,Sam Houston,DEM,393
FRANKLIN,Attorney General,,Ken Paxton,REP,2116
FRANKLIN,Attorney General,,OTHER,OTH,47
FREESTONE,Attorney General,,Sam Houston,DEM,920
FREESTONE,Attorney General,,Ken Paxton,REP,3412
FREESTONE,Attorney General,,OTHER,OTH,72
FRIO,Attorney General,,Sam Houston,DEM,931
FRIO,Attorney General,,Ken Paxton,REP,844
FRIO,Attorney General,,OTHER,OTH,45
GAINES,Attorney General,,Sam Houston,DEM,294
GAINES,Attorney General,,Ken Paxton,REP,2125
GAINES,Attorney General,,OTHER,OTH,65
GALVESTON,Attorney General,,Sam Houston,DEM,22079
GALVESTON,Attorney General,,Ken Paxton,REP,40476
GALVESTON,Attorney General,,OTHER,OTH,1768
GARZA,Attorney General,,Sam Houston,DEM,105
GARZA,Attorney General,,Ken Paxton,REP,707
GARZA,Attorney General,,OTHER,OTH,17
GILLESPIE,Attorney General,,Sam Houston,DEM,1407
GILLESPIE,Attorney General,,Ken Paxton,REP,7109
GILLESPIE,Attorney General,,OTHER,OTH,245
GLASSCOCK,Attorney General,,Sam Houston,DEM,19
GLASSCOCK,Attorney General,,Ken Paxton,REP,364
GLASSCOCK,Attorney General,,OTHER,OTH,6
GOLIAD,Attorney General,,Sam Houston,DEM,867
GOLIAD,Attorney General,,Ken Paxton,REP,1758
GOLIAD,Attorney General,,OTHER,OTH,46
GONZALES,Attorney General,,Sam Houston,DEM,803
GONZALES,Attorney General,,Ken Paxton,REP,2737
GONZALES,Attorney General,,OTHER,OTH,80
GRAY,Attorney General,,Sam Houston,DEM,303
GRAY,Attorney General,,Ken Paxton,REP,3349
GRAY,Attorney General,,OTHER,OTH,76
GRAYSON,Attorney General,,Sam Houston,DEM,5180
GRAYSON,Attorney General,,Ken Paxton,REP,17633
GRAYSON,Attorney General,,OTHER,OTH,521
GREGG,Attorney General,,Sam Houston,DEM,5940
GREGG,Attorney General,,Ken Paxton,REP,16832
GREGG,Attorney General,,OTHER,OTH,435
GRIMES,Attorney General,,Sam Houston,DEM,1127
GRIMES,Attorney General,,Ken Paxton,REP,3674
GRIMES,Attorney General,,OTHER,OTH,130
GUADALUPE,Attorney General,,Sam Houston,DEM,8132
GUADALUPE,Attorney General,,Ken Paxton,REP,21255
GUADALUPE,Attorney General,,OTHER,OTH,918
HALE,Attorney General,,Sam Houston,DEM,649
HALE,Attorney General,,Ken Paxton,REP,3560
HALE,Attorney General,,OTHER,OTH,79
HALL,Attorney General,,Sam Houston,DEM,96
HALL,Attorney General,,Ken Paxton,REP,463
HALL,Attorney General,,OTHER,OTH,7
HAMILTON,Attorney General,,Sam Houston,DEM,449
HAMILTON,Attorney General,,Ken Paxton,REP,1866
HAMILTON,Attorney General,,OTHER,OTH,44
HANSFORD,Attorney General,,Sam Houston,DEM,64
HANSFORD,Attorney General,,Ken Paxton,REP,1094
HANSFORD,Attorney General,,OTHER,OTH,23
HARDEMAN,Attorney General,,Sam Houston,DEM,137
HARDEMAN,Attorney General,,Ken Paxton,REP,511
HARDEMAN,Attorney General,,OTHER,OTH,9
HARDIN,Attorney General,,Sam Houston,DEM,1666
HARDIN,Attorney General,,Ken Paxton,REP,9614
HARDIN,Attorney General,,OTHER,OTH,184
HARRIS,Attorney General,,Sam Houston,DEM,309926
HARRIS,Attorney General,,Ken Paxton,REP,349023
HARRIS,Attorney General,,OTHER,OTH,17457
HARRISON,Attorney General,,Sam Houston,DEM,4104
HARRISON,Attorney General,,Ken Paxton,REP,10134
HARRISON,Attorney General,,OTHER,OTH,262
HARTLEY,Attorney General,,Sam Houston,DEM,92
HARTLEY,Attorney General,,Ken Paxton,REP,996
HARTLEY,Attorney General,,OTHER,OTH,15
HASKELL,Attorney General,,Sam Houston,DEM,277
HASKELL,Attorney General,,Ken Paxton,REP,755
HASKELL,Attorney General,,OTHER,OTH,12
HAYS,Attorney General,,Sam Houston,DEM,16121
HAYS,Attorney General,,Ken Paxton,REP,20359
HAYS,Attorney General,,OTHER,OTH,2366
HEMPHILL,Attorney General,,Sam Houston,DEM,91
HEMPHILL,Attorney General,,Ken Paxton,REP,691
HEMPHILL,Attorney General,,OTHER,OTH,30
HENDERSON,Attorney General,,Sam Houston,DEM,3570
HENDERSON,Attorney General,,Ken Paxton,REP,13132
HENDERSON,Attorney General,,OTHER,OTH,369
HIDALGO,Attorney General,,Sam Houston,DEM,49935
HIDALGO,Attorney General,,Ken Paxton,REP,24107
HIDALGO,Attorney General,,OTHER,OTH,3313
HILL,Attorney General,,Sam Houston,DEM,1917
HILL,Attorney General,,Ken Paxton,REP,6777
HILL,Attorney General,,OTHER,OTH,143
HOCKLEY,Attorney General,,Sam Houston,DEM,504
HOCKLEY,Attorney General,,Ken Paxton,REP,3088
HOCKLEY,Attorney General,,OTHER,OTH,64
HOOD,Attorney General,,Sam Houston,DEM,2368
HOOD,Attorney General,,Ken Paxton,REP,10785
HOOD,Attorney General,,OTHER,OTH,347
HOPKINS,Attorney General,,Sam Houston,DEM,1732
HOPKINS,Attorney General,,Ken Paxton,REP,5597
HOPKINS,Attorney General,,OTHER,OTH,132
HOUSTON,Attorney General,,Sam Houston,DEM,974
HOUSTON,Attorney General,,Ken Paxton,REP,3567
HOUSTON,Attorney General,,OTHER,OTH,64
HOWARD,Attorney General,,Sam Houston,DEM,763
HOWARD,Attorney General,,Ken Paxton,REP,3343
HOWARD,Attorney General,,OTHER,OTH,126
HUDSPETH,Attorney General,,Sam Houston,DEM,146
HUDSPETH,Attorney General,,Ken Paxton,REP,233
HUDSPETH,Attorney General,,OTHER,OTH,26
