county,office,district,candidate,party,votes
EL PASO,Railroad Commissioner,,Steve Brown,DEM,43261
EL PASO,Railroad Commissioner,,Ryan Sitton,REP,27377
EL PASO,Railroad Commissioner,,OTHER,OTH,7429
ERATH,Railroad Commissioner,,Steve Brown,DEM,1159
ERATH,Railroad Commissioner,,Ryan Sitton,REP,5784
ERATH,Railroad Commissioner,,OTHER,OTH,330
FALLS,Railroad Commissioner,,Steve Brown,DEM,910
FALLS,Railroad Commissioner,,Ryan Sitton,REP,1914
FALLS,Railroad Commissioner,,OTHER,OTH,108
FANNIN,Railroad Commissioner,,Steve Brown,DEM,1369
FANNIN,Railroad Commissioner,,Ryan Sitton,REP,4692
FANNIN,Railroad Commissioner,,OTHER,OTH,307
FAYETTE,Railroad Commissioner,,Steve Brown,DEM,1520
FAYETTE,Railroad Commissioner,,Ryan Sitton,REP,5404
FAYETTE,Railroad Commissioner,,OTHER,OTH,286
FISHER,Railroad Commissioner,,Steve Brown,DEM,413
FISHER,Railroad Commissioner,,Ryan Sitton,REP,681
FISHER,Railroad Commissioner,,OTHER,OTH,67
FLOYD,Railroad Commissioner,,Steve Brown,DEM,149
FLOYD,Railroad Commissioner,,Ryan Sitton,REP,874
FLOYD,Railroad Commissioner,,OTHER,OTH,36
FOARD,Railroad Commissioner,,Steve Brown,DEM,117
FOARD,Railroad Commissioner,,Ryan Sitton,REP,166
FOARD,Railroad Commissioner,,OTHER,OTH,8
FORT BEND,Railroad Commissioner,,Steve Brown,DEM,53077
FORT BEND,Railroad Commissioner,,Ryan Sitton,REP,73493
FORT BEND,Railroad Commissioner,,OTHER,OTH,3997
FRANKLIN,Railroad Commissioner,,Steve Brown,DEM,366
FRANKLIN,Railroad Commissioner,,Ryan Sitton,REP,2056
FRANKLIN,Railroad Commissioner,,OTHER,OTH,99
FREESTONE,Railroad Commissioner,,Steve Brown,DEM,892
FREESTONE,Railroad Commissioner,,Ryan Sitton,REP,3344
FREESTONE,Railroad Commissioner,,OTHER,OTH,145
FRIO,Railroad Commissioner,,Steve Brown,DEM,928
FRIO,Railroad Commissioner,,Ryan Sitton,REP,794
FRIO,Railroad Commissioner,,OTHER,OTH,87
GAINES,Railroad Commissioner,,Steve Brown,DEM,263
GAINES,Railroad Commissioner,,Ryan Sitton,REP,2092
GAINES,Railroad Commissioner,,OTHER,OTH,98
GALVESTON,Railroad Commissioner,,Steve Brown,DEM,21114
GALVESTON,Railroad Commissioner,,Ryan Sitton,REP,39788
GALVESTON,Railroad Commissioner,,OTHER,OTH,2872
GARZA,Railroad Commissioner,,Steve Brown,DEM,94
GARZA,Railroad Commissioner,,Ryan Sitton,REP,690
GARZA,Railroad Commissioner,,OTHER,OTH,38
GILLESPIE,Railroad Commissioner,,Steve Brown,DEM,1254
GILLESPIE,Railroad Commissioner,,Ryan Sitton,REP,6903
GILLESPIE,Railroad Commissioner,,OTHER,OTH,506
GLASSCOCK,Railroad Commissioner,,Steve Brown,DEM,26
GLASSCOCK,Railroad Commissioner,,Ryan Sitton,REP,336
GLASSCOCK,Railroad Commissioner,,OTHER,OTH,14
GOLIAD,Railroad Commissioner,,Steve Brown,DEM,839
GOLIAD,Railroad Commissioner,,Ryan Sitton,REP,1702
GOLIAD,Railroad Commissioner,,OTHER,OTH,109
GONZALES,Railroad Commissioner,,Steve Brown,DEM,842
GONZALES,Railroad Commissioner,,Ryan Sitton,REP,2574
GONZALES,Railroad Commissioner,,OTHER,OTH,164
GRAY,Railroad Commissioner,,Steve Brown,DEM,293
GRAY,Railroad Commissioner,,Ryan Sitton,REP,3249
GRAY,Railroad Commissioner,,OTHER,OTH,137
GRAYSON,Railroad Commissioner,,Steve Brown,DEM,4896
GRAYSON,Railroad Commissioner,,Ryan Sitton,REP,17290
GRAYSON,Railroad Commissioner,,OTHER,OTH,955
GREGG,Railroad Commissioner,,Steve Brown,DEM,5678
GREGG,Railroad Commissioner,,Ryan Sitton,REP,16739
GREGG,Railroad Commissioner,,OTHER,OTH,651
GRIMES,Railroad Commissioner,,Steve Brown,DEM,1087
GRIMES,Railroad Commissioner,,Ryan Sitton,REP,3576
GRIMES,Railroad Commissioner,,OTHER,OTH,210
GUADALUPE,Railroad Commissioner,,Steve Brown,DEM,7964
GUADALUPE,Railroad Commissioner,,Ryan Sitton,REP,20417
GUADALUPE,Railroad Commissioner,,OTHER,OTH,1589
HALE,Railroad Commissioner,,Steve Brown,DEM,585
HALE,Railroad Commissioner,,Ryan Sitton,REP,3491
HALE,Railroad Commissioner,,OTHER,OTH,188
HALL,Railroad Commissioner,,Steve Brown,DEM,98
HALL,Railroad Commissioner,,Ryan Sitton,REP,444
HALL,Railroad Commissioner,,OTHER,OTH,15
HAMILTON,Railroad Commissioner,,Steve Brown,DEM,441
HAMILTON,Railroad Commissioner,,Ryan Sitton,REP,1770
HAMILTON,Railroad Commissioner,,OTHER,OTH,130
HANSFORD,Railroad Commissioner,,Steve Brown,DEM,53
HANSFORD,Railroad Commissioner,,Ryan Sitton,REP,1062
HANSFORD,Railroad Commissioner,,OTHER,OTH,47
HARDEMAN,Railroad Commissioner,,Steve Brown,DEM,138
HARDEMAN,Railroad Commissioner,,Ryan Sitton,REP,477
HARDEMAN,Railroad Commissioner,,OTHER,OTH,26
HARDIN,Railroad Commissioner,,Steve Brown,DEM,1552
HARDIN,Railroad Commissioner,,Ryan Sitton,REP,9451
HARDIN,Railroad Commissioner,,OTHER,OTH,323
HARRIS,Railroad Commissioner,,Steve Brown,DEM,292690
HARRIS,Railroad Commissioner,,Ryan Sitton,REP,351743
HARRIS,Railroad Commissioner,,OTHER,OTH,25165
HARRISON,Railroad Commissioner,,Steve Brown,DEM,3984
HARRISON,Railroad Commissioner,,Ryan Sitton,REP,9974
HARRISON,Railroad Commissioner,,OTHER,OTH,460
HARTLEY,Railroad Commissioner,,Steve Brown,DEM,92
HARTLEY,Railroad Commissioner,,Ryan Sitton,REP,945
HARTLEY,Railroad Commissioner,,OTHER,OTH,43
HASKELL,Railroad Commissioner,,Steve Brown,DEM,288
HASKELL,Railroad Commissioner,,Ryan Sitton,REP,693
HASKELL,Railroad Commissioner,,OTHER,OTH,32
HAYS,Railroad Commissioner,,Steve Brown,DEM,15340
HAYS,Railroad Commissioner,,Ryan Sitton,REP,19888
HAYS,Railroad Commissioner,,OTHER,OTH,3164
HEMPHILL,Railroad Commissioner,,Steve Brown,DEM,73
HEMPHILL,Railroad Commissioner,,Ryan Sitton,REP,675
HEMPHILL,Railroad Commissioner,,OTHER,OTH,40
HENDERSON,Railroad Commissioner,,Steve Brown,DEM,3431
HENDERSON,Railroad Commissioner,,Ryan Sitton,REP,12801
HENDERSON,Railroad Commissioner,,OTHER,OTH,634
HIDALGO,Railroad Commissioner,,Steve Brown,DEM,47376
HIDALGO,Railroad Commissioner,,Ryan Sitton,REP,23358
HIDALGO,Railroad Commissioner,,OTHER,OTH,6419
HILL,Railroad Commissioner,,Steve Brown,DEM,1744
HILL,Railroad Commissioner,,Ryan Sitton,REP,6632
HILL,Railroad Commissioner,,OTHER,OTH,360
HOCKLEY,Railroad Commissioner,,Steve Brown,DEM,450
HOCKLEY,Railroad Commissioner,,Ryan Sitton,REP,3006
HOCKLEY,Railroad Commissioner,,OTHER,OTH,175
HOOD,Railroad Commissioner,,Steve Brown,DEM,2234
HOOD,Railroad Commissioner,,Ryan Sitton,REP,10575
HOOD,Railroad Commissioner,,OTHER,OTH,600
HOPKINS,Railroad Commissioner,,Steve Brown,DEM,1693
HOPKINS,Railroad Commissioner,,Ryan Sitton,REP,5263
HOPKINS,Railroad Commissioner,,OTHER,OTH,312
HOUSTON,Railroad Commissioner,,Steve Brown,DEM,953
HOUSTON,Railroad Commissioner,,Ryan Sitton,REP,3480
HOUSTON,Railroad Commissioner,,OTHER,OTH,133
HOWARD,Railroad Commissioner,,Steve Brown,DEM,707
HOWARD,Railroad Commissioner,,Ryan Sitton,REP,3234
HOWARD,Railroad Commissioner,,OTHER,OTH,250
HUDSPETH,Railroad Commissioner,,Steve Brown,DEM,131
HUDSPETH,Railroad Commissioner,,Ryan Sitton,REP,225
HUDSPETH,Railroad Commissioner,,OTHER,OTH,52
HUNT,Railroad Commissioner,,Steve Brown,DEM,3242
HUNT,Railroad Commissioner,,Ryan Sitton,REP,11859
HUNT,Railroad Commissioner,,OTHER,OTH,764
HUTCHINSON,Railroad Commissioner,,Steve Brown,DEM,461
HUTCHINSON,Railroad Commissioner,,Ryan Sitton,REP,3752
HUTCHINSON,Railroad Commissioner,,OTHER,OTH,233
IRION,Railroad Commissioner,,Steve Brown,DEM,43
IRION,Railroad Commissioner,,Ryan Sitton,REP,366
IRION,Railroad Commissioner,,OTHER,OTH,20
JACK,Railroad Commissioner,,Steve Brown,DEM,218
JACK,Railroad Commissioner,,Ryan Sitton,REP,1439
JACK,Railroad Commissioner,,OTHER,OTH,43
JACKSON,Railroad Commissioner,,Steve Brown,DEM,504
JACKSON,Railroad Commissioner,,Ryan Sitton,REP,2265
JACKSON,Railroad Commissioner,,OTHER,OTH,75
JASPER,Railroad Commissioner,,Steve Brown,DEM,1548
JASPER,Railroad Commissioner,,Ryan Sitton,REP,5232
JASPER,Railroad Commissioner,,OTHER,OTH,185
JEFF DAVIS,Railroad Commissioner,,Steve Brown,DEM,345
JEFF DAVIS,Railroad Commissioner,,Ryan Sitton,REP,511
JEFF DAVIS,Railroad Commissioner,,OTHER,OTH,102
JEFFERSON,Railroad Commissioner,,Steve Brown,DEM,25606
JEFFERSON,Railroad Commissioner,,Ryan Sitton,REP,25133
JEFFERSON,Railroad Commissioner,,OTHER,OTH,1299
JIM HOGG,Railroad Commissioner,,Steve Brown,DEM,533
JIM HOGG,Railroad Commissioner,,Ryan Sitton,REP,129
JIM HOGG,Railroad Commissioner,,OTHER,OTH,44
JIM WELLS,Railroad Commissioner,,Steve Brown,DEM,2853
JIM WELLS,Railroad Commissioner,,Ryan Sitton,REP,2281
JIM WELLS,Railroad Commissioner,,OTHER,OTH,370
JOHNSON,Railroad Commissioner,,Steve Brown,DEM,5331
JOHNSON,Railroad Commissioner,,Ryan Sitton,REP,22056
JOHNSON,Railroad Commissioner,,OTHER,OTH,1462
JONES,Railroad Commissioner,,Steve Brown,DEM,620
JONES,Railroad Commissioner,,Ryan Sitton,REP,2436
JONES,Railroad Commissioner,,OTHER,OTH,191
KARNES,Railroad Commissioner,,Steve Brown,DEM,736
KARNES,Railroad Commissioner,,Ryan Sitton,REP,1566
KARNES,Railroad Commissioner,,OTHER,OTH,108
KAUFMAN,Railroad Commissioner,,Steve Brown,DEM,4985
KAUFMAN,Railroad Commissioner,,Ryan Sitton,REP,14252
KAUFMAN,Railroad Commissioner,,OTHER,OTH,805
KENDALL,Railroad Commissioner,,Steve Brown,DEM,1736
KENDALL,Railroad Commissioner,,Ryan Sitton,REP,9353
KENDALL,Railroad Commissioner,,OTHER,OTH,569
KENEDY,Railroad Commissioner,,Steve Brown,DEM,50
KENEDY,Railroad Commissioner,,Ryan Sitton,REP,50
KENEDY,Railroad Commissioner,,OTHER,OTH,7
KENT,Railroad Commissioner,,Steve Brown,DEM,59
KENT,Railroad Commissioner,,Ryan Sitton,REP,200
KENT,Railroad Commissioner,,OTHER,OTH,21
KERR,Railroad Commissioner,,Steve Brown,DEM,2510
KERR,Railroad Commissioner,,Ryan Sitton,REP,11297
KERR,Railroad Commissioner,,OTHER,OTH,800
KIMBLE,Railroad Commissioner,,Steve Brown,DEM,113
KIMBLE,Railroad Commissioner,,Ryan Sitton,REP,1029
KIMBLE,Railroad Commissioner,,OTHER,OTH,36
KING,Railroad Commissioner,,Steve Brown,DEM,3
KING,Railroad Commissioner,,Ryan Sitton,REP,81
KING,Railroad Commissioner,,OTHER,OTH,5
KINNEY,Railroad Commissioner,,Steve Brown,DEM,338
KINNEY,Railroad Commissioner,,Ryan Sitton,REP,649
KINNEY,Railroad Commissioner,,OTHER,OTH,93
KLEBERG,Railroad Commissioner,,Steve Brown,DEM,2600
KLEBERG,Railroad Commissioner,,Ryan Sitton,REP,2394
KLEBERG,Railroad Commissioner,,OTHER,OTH,513
KNOX,Railroad Commissioner,,Steve Brown,DEM,195
KNOX,Railroad Commissioner,,Ryan Sitton,REP,612
KNOX,Railroad Commissioner,,OTHER,OTH,41
LAMAR,Railroad Commissioner,,Steve Brown,DEM,2654
LAMAR,Railroad Commissioner,,Ryan Sitton,REP,7365
LAMAR,Railroad Commissioner,,OTHER,OTH,463
LAMB,Railroad Commissioner,,Steve Brown,DEM,283
LAMB,Railroad Commissioner,,Ryan Sitton,REP,1694
LAMB,Railroad Commissioner,,OTHER,OTH,85
LAMPASAS,Railroad Commissioner,,Steve Brown,DEM,777
LAMPASAS,Railroad Commissioner,,Ryan Sitton,REP,3557
LAMPASAS,Railroad Commissioner,,OTHER,OTH,234
LA SALLE,Railroad Commissioner,,Steve Brown,DEM,399
LA SALLE,Railroad Commissioner,,Ryan Sitton,REP,361
LA SALLE,Railroad Commissioner,,OTHER,OTH,46
LAVACA,Railroad Commissioner,,Steve Brown,DEM,829
LAVACA,Railroad Commissioner,,Ryan Sitton,REP,3947
LAVACA,Railroad Commissioner,,OTHER,OTH,138
LEE,Railroad Commissioner,,Steve Brown,DEM,998
LEE,Railroad Commissioner,,Ryan Sitton,REP,2830
LEE,Railroad Commissioner,,OTHER,OTH,246
LEON,Railroad Commissioner,,Steve Brown,DEM,496
LEON,Railroad Commissioner,,Ryan Sitton,REP,3607
LEON,Railroad Commissioner,,OTHER,OTH,112
LIBERTY,Railroad Commissioner,,Steve Brown,DEM,2628
LIBERTY,Railroad Commissioner,,Ryan Sitton,REP,9139
LIBERTY,Railroad Commissioner,,OTHER,OTH,447
LIMESTONE,Railroad Commissioner,,Steve Brown,DEM,1024
LIMESTONE,Railroad Commissioner,,Ryan Sitton,REP,3091
LIMESTONE,Railroad Commissioner,,OTHER,OTH,120
LIPSCOMB,Railroad Commissioner,,Steve Brown,DEM,78
LIPSCOMB,Railroad Commissioner,,Ryan Sitton,REP,713
LIPSCOMB,Railroad Commissioner,,OTHER,OTH,34
LIVE OAK,Railroad Commissioner,,Steve Brown,DEM,391
LIVE OAK,Railroad Commissioner,,Ryan Sitton,REP,1924
LIVE OAK,Railroad Commissioner,,OTHER,OTH,103
LLANO,Railroad Commissioner,,Steve Brown,DEM,1213
LLANO,Railroad Commissioner,,Ryan Sitton,REP,5438
LLANO,Railroad Commissioner,,OTHER,OTH,300
LOVING,Railroad Commissioner,,Steve Brown,DEM,7
LOVING,Railroad Commissioner,,Ryan Sitton,REP,28
LOVING,Railroad Commissioner,,OTHER,OTH,3
LUBBOCK,Railroad Commissioner,,Steve Brown,DEM,9661
LUBBOCK,Railroad Commissioner,,Ryan Sitton,REP,34263
LUBBOCK,Railroad Commissioner,,OTHER,OTH,2582
LYNN,Railroad Commissioner,,Steve Brown,DEM,224
LYNN,Railroad Commissioner,,Ryan Sitton,REP,883
LYNN,Railroad Commissioner,,OTHER,OTH,50
