county,office,district,candidate,party,votes
GONZALES,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,344
GRAY,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,3347
GRAY,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,212
GRAYSON,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,18112
GRAYSON,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,2652
GREGG,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,17146
GREGG,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,2157
GRIMES,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,3745
GRIMES,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,514
GUADALUPE,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,22100
GUADALUPE,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,4955
HALE,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,3718
HALE,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,283
HALL,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,476
HALL,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,29
HAMILTON,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,1876
HAMILTON,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,237
HANSFORD,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,1084
HANSFORD,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,48
HARDEMAN,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,523
HARDEMAN,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,47
HARDIN,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,9853
HARDIN,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,787
HARRIS,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,379654
HARRIS,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,113959
HARRISON,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,10532
HARRISON,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,1518
